Location,Date and Time,Coordinates,Magnitude and Depth,Event Type,ID,Source
M: 4.3 - Bay of Bengal,2024-09-23 08:20:13 IST,"10.87, 91.58","Magnitude: M: 4.3, Depth: D: 10km",Reviewed,cTE2QkxRNGNZMXB2U1BCZmlSZzhNQT09,RISEQ
M: 3.5 - Xizang,2024-09-23 06:15:50 IST,"32.62, 81.92","Magnitude: M: 3.5, Depth: D: 120km",Reviewed,ZFkzc3Z1Q1hybkZVSXJMSDJYeHVWZz09,RISEQ
M: 3.5 - Myanmar,2024-09-22 22:14:54 IST,"23.68, 94.16","Magnitude: M: 3.5, Depth: D: 90km",Reviewed,OTFEZk40ODZoODVSWEtYYXhGaS95dz09,RISEQ
M: 1.9 - Southwest Delhi,2024-09-22 07:20:01 IST,"28.54, 76.92","Magnitude: M: 1.9, Depth: D: 2km",Reviewed,WG8zQWJ3c2FvbU8wYnNlRmZnaU44Zz09,RISEQ
M: 4.0 - Tajikistan,2024-09-22 04:50:57 IST,"37.26, 72.07","Magnitude: M: 4.0, Depth: D: 114km",Reviewed,bnhZRVc3Zi9hMFJWS2xGcGZ6c3BHQT09,RISEQ
M: 4.1 - Bay of Bengal,2024-09-22 00:12:24 IST,"10.83, 91.54","Magnitude: M: 4.1, Depth: D: 10km",Reviewed,VlNsRzZNWlJMVjFXbDRaZFRQUXhUUT09,RISEQ
M: 4.1 - Xizang,2024-09-21 22:28:12 IST,"31.82, 88.21","Magnitude: M: 4.1, Depth: D: 180km",Reviewed,amR6VU9iOEVDNm56OGR6N2hieUN1QT09,RISEQ
M: 4.3 - Bay of Bengal,2024-09-21 22:11:50 IST,"11.73, 91.23","Magnitude: M: 4.3, Depth: D: 10km",Reviewed,MENBZkNJemJjOG41Z0dHU1dPR05Rdz09,RISEQ
"M: 3.1 - Mangan, Sikkim",2024-09-21 21:12:27 IST,"27.77, 88.26","Magnitude: M: 3.1, Depth: D: 49km",Reviewed,YXp6eWwxR0NJRjMwZDR6ZGZWeno4QT09,RISEQ
M: 4.7 - Pakistan,2024-09-21 20:12:45 IST,"36.12, 71.34","Magnitude: M: 4.7, Depth: D: 90km",Reviewed,blFveFg0N25NNmVlSjJQY1F3cUdVdz09,RISEQ
"M: 2.8 - Rohtak, Haryana",2024-09-21 17:14:23 IST,"28.92, 76.74","Magnitude: M: 2.8, Depth: D: 5.0km",Reviewed,YUJzbnZtc0wreHRvWlY5MnZFU2JIZz09,RISEQ
"M: 2.8 - WEST KAMENG, ARUNACHAL PRADESH",2024-09-21 14:13:01 IST,"27.00, 92.57","Magnitude: M: 2.8, Depth: D: 16km",Reviewed,bEdkYlF5ZEpKN3FhdG42R21HM3RIZz09,RISEQ
M: 3.5 - Myanmar,2024-09-20 23:18:17 IST,"24.72, 94.77","Magnitude: M: 3.5, Depth: D: 80km",Reviewed,Rk04UEp1aVpnZnRVZE9Bd1YvbGFmQT09,RISEQ
"M: 2.6 - Chamoli, Uttarakhand",2024-09-20 13:32:22 IST,"30.27, 79.57","Magnitude: M: 2.6, Depth: D: 5km",Reviewed,eW1kenRqT2R0a2JmQ1pvU0xvVVVYdz09,RISEQ
"M: 4.4 - Northern Sumatra, Indonesia",2024-09-19 21:44:13 IST,"0.86, 98.93","Magnitude: M: 4.4, Depth: D: 34km",Reviewed,WGRwY2hvblVRelVMNmd5dVZZNitlZz09,RISEQ
"M: 3.4 - East Jaintia Hills, Meghalaya",2024-09-19 16:07:34 IST,"25.22, 92.42","Magnitude: M: 3.4, Depth: D: 10km",Reviewed,U3Q4VlVtK0t0MUY1dUhyYWFsTjRydz09,RISEQ
M: 5.1 - Bay of Bengal,2024-09-19 10:50:57 IST,"10.54, 91.69","Magnitude: M: 5.1, Depth: D: 10km",Reviewed,SlAwaGlNVTQzOURIbGtKWHBhdWdDZz09,RISEQ
M: 3.9 - Afghanistan,2024-09-19 01:53:35 IST,"37.37, 71.22","Magnitude: M: 3.9, Depth: D: 150km",Reviewed,aVF0YjVLRzR5UTZ5MjBZbytSRkkzQT09,RISEQ
M: 4.5 - Tajikistan,2024-09-19 01:44:17 IST,"37.67, 71.78","Magnitude: M: 4.5, Depth: D: 180km",Reviewed,amhmR3EzVXRoWi9pT2IrcG5XVlVmZz09,RISEQ
M: 4.6 - Tajikistan,2024-09-19 01:22:05 IST,"37.52, 71.76","Magnitude: M: 4.6, Depth: D: 150km",Reviewed,dzdNVGM4cHBwMmRZSnVKMFpHUmhpUT09,RISEQ
"M: 3.1 - Jaisalmer, Rajasthan",2024-09-19 00:38:22 IST,"26.47, 71.24","Magnitude: M: 3.1, Depth: D: 5km",Reviewed,Vks2dkUxdHArQ09HU0xPdXZTYm4zQT09,RISEQ
M: 4.2 - Afghanistan,2024-09-18 13:13:06 IST,"37.35, 69.81","Magnitude: M: 4.2, Depth: D: 278km",Reviewed,RGpPbFdPNGs4NzBYWmJjR3hiOFRxQT09,RISEQ
M: 3.5 - Nepal,2024-09-18 09:53:09 IST,"29.34, 80.91","Magnitude: M: 3.5, Depth: D: 10km",Reviewed,b3NnYUFPMGhKMVdqNTdVanRxQ1FZQT09,RISEQ
"M: 2.7 - Anantnag, Jammu and Kashmir",2024-09-18 02:04:44 IST,"33.70, 75.53","Magnitude: M: 2.7, Depth: D: 5km",Reviewed,VkRmYm1VZUJlWHhpZjBPZlBUeGdOUT09,RISEQ
M: 3.9 - Bay of Bengal,2024-09-18 01:32:10 IST,"12.86, 92.43","Magnitude: M: 3.9, Depth: D: 29km",Reviewed,YUc4NkNqTDZnVkx6dDIvaG9yY0p1QT09,RISEQ
"M: 1.8 - Chamoli, Uttarakhand",2024-09-17 22:25:05 IST,"30.24, 79.40","Magnitude: M: 1.8, Depth: D: 5km",Reviewed,ZFdoOXg1d1VZWXN5c2t1Vkx4RTZSQT09,RISEQ
M: 4.7 - Tajikistan,2024-09-17 19:58:09 IST,"37.30, 72.13","Magnitude: M: 4.7, Depth: D: 180km",Reviewed,bElEV0NQTjZFRmI0M1FZZ1QremVLZz09,RISEQ
M: 3.3 - Nepal,2024-09-17 16:46:57 IST,"27.75, 86.78","Magnitude: M: 3.3, Depth: D: 5km",Reviewed,Q2JjRTRDNnIwWFpJYnZIVklrSkYxUT09,RISEQ
M: 4.8 - Bay of Bengal,2024-09-17 09:53:01 IST,"9.15, 90.51","Magnitude: M: 4.8, Depth: D: 10km",Reviewed,NXhWSUxwcWVQOFpsY1dZdFplMk80Zz09,RISEQ
"M: 3.4 - Kargil, Ladakh",2024-09-17 00:31:03 IST,"34.16, 76.46","Magnitude: M: 3.4, Depth: D: 10km",Reviewed,UmpxeGlMb0oxTFM4cGlTVy9WMTE4UT09,RISEQ
"M: 2.7 - Karbi Anglong, Assam",2024-09-16 15:44:45 IST,"26.22, 92.93","Magnitude: M: 2.7, Depth: D: 5km",Reviewed,OUdOR0ZIeW14Y0xHZ2J0d0tvK0VFdz09,RISEQ
"M: 3.5 - Bichom, Arunachal Pradesh",2024-09-16 04:14:20 IST,"27.60, 92.73","Magnitude: M: 3.5, Depth: D: 5km",Reviewed,WDNtenoyblpsUVY4LzMyVmpXRGgwdz09,RISEQ
M: 4.3 - Myanmar,2024-09-15 19:47:08 IST,"22.76, 93.97","Magnitude: M: 4.3, Depth: D: 122km",Reviewed,SGJVb0ZPaytuSC9tY0tlTU5HaDBQUT09,RISEQ
M: 3.6 - Myanmar,2024-09-15 13:25:32 IST,"24.82, 94.98","Magnitude: M: 3.6, Depth: D: 120km",Reviewed,c3ZTYlNzbEY3cEpyc24rbkZHUnloZz09,RISEQ
M: 3.9 - Tajikistan,2024-09-15 08:21:27 IST,"37.76, 72.63","Magnitude: M: 3.9, Depth: D: 10km",Reviewed,SUhqT1c0ck9NcDJvUU5ZS2RVUXNaZz09,RISEQ
"M: 4.8 - Northern Sumatra, Indonesia",2024-09-15 03:07:37 IST,"1.98, 99.08","Magnitude: M: 4.8, Depth: D: 115km",Reviewed,SW80OFN5K2JpVmd6SjRzQ0h2TGlUUT09,RISEQ
"M: 2.7 - North Garo Hills, Meghalaya",2024-09-15 00:50:48 IST,"25.83, 90.81","Magnitude: M: 2.7, Depth: D: 5km",Reviewed,dUpkU0ZtVGh3UGhOcWNmTGNWUndLZz09,RISEQ
M: 3.8 - Nepal,2024-09-14 23:51:49 IST,"29.57, 81.69","Magnitude: M: 3.8, Depth: D: 20km",Reviewed,UExpN3UyNTRqNS9qVWZzcE4wVFdEQT09,RISEQ
M: 4.3 - Bay of Bengal,2024-09-14 16:26:53 IST,"6.83, 92.08","Magnitude: M: 4.3, Depth: D: 20km",Reviewed,b1ZCakdZdmdCQ1l0T3ordWxiV1pyUT09,RISEQ
"M: 3.4 - Sundargarh, Odisha",2024-09-14 14:54:37 IST,"22.19, 84.61","Magnitude: M: 3.4, Depth: D: 10km",Reviewed,TmlPd0hWc0E0NTgzTW5DSDMzdlB2Zz09,RISEQ
"M: 3.8 - Kargil, Ladakh",2024-09-14 08:01:19 IST,"34.30, 76.55","Magnitude: M: 3.8, Depth: D: 5km",Reviewed,dHUrdmh5d2VHa2ZQdFljZHlvL2l4UT09,RISEQ
M: 4.5 - Xizang,2024-09-13 23:59:55 IST,"31.65, 86.57","Magnitude: M: 4.5, Depth: D: 173km",Reviewed,U1B5RU9IY2IyQ2lhRlo2TXdZZE41Zz09,RISEQ
"M: 2.2 - Karbi Anglong, Assam",2024-09-13 20:45:21 IST,"26.29, 93.58","Magnitude: M: 2.2, Depth: D: 18km",Reviewed,VkJlOW1LZlhpMDUyZmJWNzgzMmNYQT09,RISEQ
M: 4.2 - Xizang,2024-09-13 17:57:29 IST,"33.26, 85.22","Magnitude: M: 4.2, Depth: D: 140km",Reviewed,UktibVlPRkdUY3ZIRFZsRkRJM21KQT09,RISEQ
M: 4.3 - Xizang,2024-09-13 15:31:15 IST,"33.85, 82.04","Magnitude: M: 4.3, Depth: D: 10km",Reviewed,bFFYdDNJWWVYak8zUG5vL2k4SGRTQT09,RISEQ
M: 4.3 - Andaman Sea,2024-09-13 14:52:56 IST,"11.97, 95.23","Magnitude: M: 4.3, Depth: D: 28km",Reviewed,ci80Q2dTTjJuaTFBM253RHNCUmhtZz09,RISEQ
M: 4.4 - Xizang,2024-09-13 03:34:18 IST,"31.69, 85.40","Magnitude: M: 4.4, Depth: D: 10km",Reviewed,WFZLR201aTIwbWZYcjJDVjdTSnBvUT09,RISEQ
"M: 2.4 - Lower Subansiri, Arunachal Pradesh",2024-09-13 02:57:59 IST,"27.60, 93.87","Magnitude: M: 2.4, Depth: D: 5km",Reviewed,M3VLNjF4ZWVpZndtSWw3YUNxMklKdz09,RISEQ
M: 5.8 - Pakistan,2024-09-11 12:58:03 IST,"31.25, 70.52","Magnitude: M: 5.8, Depth: D: 33km",Reviewed,ODIxUllOcEFCaVNFampWT1pGZWVxUT09,RISEQ
"M: 2.6 - Nagaon, Assam",2024-09-10 23:39:39 IST,"26.29, 92.78","Magnitude: M: 2.6, Depth: D: 25km",Reviewed,T3pwbGtPNjJHZ0dvNlQ5dXVUZG1TQT09,RISEQ
M: 4.2 - Myanmar,2024-09-09 18:16:52 IST,"23.06, 94.13","Magnitude: M: 4.2, Depth: D: 9km",Reviewed,azVPMWFYZHgzWGVoaDAxUnZINU4xUT09,RISEQ
M: 4.0 - Afghanistan,2024-09-09 13:50:02 IST,"36.25, 70.05","Magnitude: M: 4.0, Depth: D: 180km",Reviewed,RGpYa3N4UFJOaktBdWRuc0gyRmozZz09,RISEQ
"M: 2.8 - Zunheboto, Nagaland",2024-09-09 12:52:00 IST,"25.91, 94.46","Magnitude: M: 2.8, Depth: D: 28km",Reviewed,YmZFeFZxTFQwTWdrTDhkQTY5SVlSQT09,RISEQ
"M: 3.6 - Jhargram, West Bengal",2024-09-09 01:55:52 IST,"22.69, 86.66","Magnitude: M: 3.6, Depth: D: 10km",Reviewed,d3prMTEwOXNtd1luVFVuNnJrbUIrZz09,RISEQ
M: 4.2 - Afghanistan,2024-09-08 03:32:11 IST,"36.01, 70.56","Magnitude: M: 4.2, Depth: D: 135km",Reviewed,TURXOEtGaE9EMEd3UURKZG1SaUV4QT09,RISEQ
"M: 2.9 - Kamjong, Manipur",2024-09-08 01:00:46 IST,"24.76, 94.45","Magnitude: M: 2.9, Depth: D: 30km",Reviewed,cExlUVVLZkE1OXM0WGNPRzZGWjViQT09,RISEQ
M: 4.5 - Tajikistan,2024-09-07 17:39:48 IST,"37.13, 71.65","Magnitude: M: 4.5, Depth: D: 10km",Reviewed,VHdOeG9Rd3U0KzAwOS9oMGs4YWtZdz09,RISEQ
M: 4.4 - Bhutan,2024-09-06 19:58:32 IST,"27.02, 89.27","Magnitude: M: 4.4, Depth: D: 5km",Reviewed,ZEZsdkdCMTRpZ3ppVFNGVlNDZjhlUT09,RISEQ
"M: 3.0 - Uttarkashi, Uttarakhand",2024-09-06 11:56:32 IST,"31.03, 78.09","Magnitude: M: 3.0, Depth: D: 5km",Reviewed,eVI4R2RnNk5jdVRFSmErNHFQcThlUT09,RISEQ
M: 4.2 - Afghanistan,2024-09-06 03:11:23 IST,"36.12, 71.11","Magnitude: M: 4.2, Depth: D: 150km",Reviewed,S25oMUhlZHh2VVFIV2paNEYyZU84Zz09,RISEQ
M: 3.7 - Myanmar,2024-09-06 01:28:18 IST,"23.16, 94.15","Magnitude: M: 3.7, Depth: D: 75km",Reviewed,d1ZxTGpUeEhlZmpaUFVnQ1A1UXhRdz09,RISEQ
M: 4.0 - Afghanistan,2024-09-05 21:39:07 IST,"36.51, 70.36","Magnitude: M: 4.0, Depth: D: 219km",Reviewed,S1hkVlBydGRjMklHTEh0L3JCdnFidz09,RISEQ
M: 4.8 - Afghanistan,2024-09-05 17:22:07 IST,"35.99, 70.50","Magnitude: M: 4.8, Depth: D: 119km",Reviewed,VUZWNExPZFhPMk8yWHlIRXdEYkVuZz09,RISEQ
"M: 3.1 - Kamjong, Manipur",2024-09-05 17:01:00 IST,"24.82, 94.35","Magnitude: M: 3.1, Depth: D: 79km",Reviewed,dVRtK2FSemxvRVBxZ1NON3dma09ZUT09,RISEQ
M: 3.8 - Pakistan,2024-09-04 23:59:36 IST,"32.62, 74.11","Magnitude: M: 3.8, Depth: D: 10km",Reviewed,aVBLUDRmVHRrd0Y3K1ptcHB5V1NDZz09,RISEQ
"M: 2.3 - Karbi Anglong, Assam",2024-09-04 22:40:36 IST,"26.51, 93.32","Magnitude: M: 2.3, Depth: D: 18km",Reviewed,S0pHaStrWEhRbzJleHpEMG1ibUhkZz09,RISEQ
M: 4.2 - Afghanistan,2024-09-04 18:38:49 IST,"36.64, 71.50","Magnitude: M: 4.2, Depth: D: 210km",Reviewed,SURtanNLNnM1NXp6czNuaXUyYU56QT09,RISEQ
M: 4.3 - Myanmar,2024-09-04 07:19:11 IST,"23.32, 94.58","Magnitude: M: 4.3, Depth: D: 134km",Reviewed,bSs3d2xlaGdOczBZSGsvaitxaGhmdz09,RISEQ
"M: 3.0 - Satara, Maharashtra",2024-09-04 04:04:17 IST,"17.25, 73.85","Magnitude: M: 3.0, Depth: D: 5km",Reviewed,TUJqWFRxN3FNeEVVL3VGTEt2VFVJdz09,RISEQ
M: 4.0 - Xizang,2024-09-04 02:04:46 IST,"34.49, 83.77","Magnitude: M: 4.0, Depth: D: 144km",Reviewed,REpHMll4bEJuNW83Y3hnUndOM2NOQT09,RISEQ
M: 4.2 - Tajikistan,2024-09-03 11:39:41 IST,"38.85, 68.84","Magnitude: M: 4.2, Depth: D: 10km",Reviewed,QXpMU0FKclI3K1V1OS9JUi9QYy9nZz09,RISEQ
"M: 2.3 - Jorhat, Assam",2024-09-03 08:19:19 IST,"26.94, 94.38","Magnitude: M: 2.3, Depth: D: 23km",Reviewed,OFA3TDFwd3dudFlEcjUxUEtOOFU0UT09,RISEQ
M: 3.5 - Nepal,2024-09-03 05:56:30 IST,"27.82, 85.57","Magnitude: M: 3.5, Depth: D: 10km",Reviewed,UVJHVXZZeHJBQTFkb3B4ekFmM1owUT09,RISEQ
"M: 3.2 - Kachchh, Gujarat",2024-09-02 17:45:26 IST,"23.37, 70.36","Magnitude: M: 3.2, Depth: D: 10km",Reviewed,Z3lhekVwd0hac09CYXpTaXVwaCttQT09,RISEQ
"M: 2.5 - Seoni, Madhya Pradesh",2024-09-02 14:52:34 IST,"22.06, 79.53","Magnitude: M: 2.5, Depth: D: 5km",Reviewed,cFFTUGRTYko4anBBV2hSaTdxSnplUT09,RISEQ
M: 3.9 - Afghanistan,2024-09-02 06:36:01 IST,"36.23, 71.36","Magnitude: M: 3.9, Depth: D: 10km",Reviewed,MGFDRFFKSEpHMEpXMlNmUHBnaFNmUT09,RISEQ
M: 3.2 - Myanmar,2024-09-02 06:13:17 IST,"23.57, 94.80","Magnitude: M: 3.2, Depth: D: 10km",Reviewed,c043TFl2aVhLRXZMZmJVUXlReTRkdz09,RISEQ
"M: 4.6 - Northern Sumatra, Indonesia",2024-09-02 06:09:26 IST,"3.48, 97.10","Magnitude: M: 4.6, Depth: D: 10km",Reviewed,cXRmZDhZR2Y2MW5PLzFJa1Z2L2UwZz09,RISEQ
"M: 3.6 - Morigaon, Assam",2024-09-01 18:51:52 IST,"26.25, 92.39","Magnitude: M: 3.6, Depth: D: 23km",Reviewed,SkpCZ1prbTBTL2RnQ2pqT0pGMitnZz09,RISEQ
"M: 2.8 - Bilaspur, Chhattisgarh",2024-09-01 16:43:50 IST,"22.17, 82.42","Magnitude: M: 2.8, Depth: D: 5km",Reviewed,NUxNRXlHNHBLcjhveVlLU1k5Q0crdz09,RISEQ
M: 3.3 - Bhutan,2024-09-01 15:38:00 IST,"27.42, 91.82","Magnitude: M: 3.3, Depth: D: 9km",Reviewed,QWVweXBVTHA5SXVsd0Ivem13ZG5jZz09,RISEQ
"M: 3.0 - Kolasib, Mizoram",2024-09-01 10:31:45 IST,"24.43, 92.72","Magnitude: M: 3.0, Depth: D: 30km",Reviewed,Z2hKZG8yK1FsZ2lFcjlXbFNVdzBmQT09,RISEQ
M: 5.1 - Bay of Bengal,2024-09-01 09:12:50 IST,"8.27, 91.67","Magnitude: M: 5.1, Depth: D: 10km",Reviewed,cmpSaTJteS8xVm1YTFdxRnNEcU1BQT09,RISEQ
"M: 2.5 - Seoni, Madhya Pradesh",2024-09-01 06:09:19 IST,"22.09, 79.62","Magnitude: M: 2.5, Depth: D: 7km",Reviewed,MG5kbDJoZVRkVk40eGYyZ2RLbjdoQT09,RISEQ
"M: 3.0 - Noklak, Nagaland",2024-09-01 03:36:39 IST,"26.24, 95.03","Magnitude: M: 3.0, Depth: D: 10km",Reviewed,YkdYYlpTcGI0YnlVb2FvMnpNaXpnQT09,RISEQ
M: 3.8 - Afghanistan,2024-09-01 01:13:26 IST,"36.39, 71.51","Magnitude: M: 3.8, Depth: D: 30km",Reviewed,WE40aTFpaC94Y21ET0MrTFB6cmRmQT09,RISEQ
M: 2.8 - Myanmar,2024-08-31 15:02:45 IST,"25.31, 94.71","Magnitude: M: 2.8, Depth: D: 60km",Reviewed,bVlwamRmQWlkLzc5NmZiQitJNGw4dz09,RISEQ
M: 4.2 - Afghanistan,2024-08-31 08:35:28 IST,"35.97, 71.14","Magnitude: M: 4.2, Depth: D: 150km",Reviewed,RWtwdnFVZmVOMWh5eGNlRmVmZDVnUT09,RISEQ
M: 4.2 - Afghanistan,2024-08-31 04:30:35 IST,"36.42, 71.31","Magnitude: M: 4.2, Depth: D: 137km",Reviewed,Q3lsVWZGQnRqT2xaUmxGcFNFd1dWUT09,RISEQ
M: 3.9 - Nepal,2024-08-31 03:32:07 IST,"28.48, 84.26","Magnitude: M: 3.9, Depth: D: 10km",Reviewed,Z002L1ZDaVhDeTZFeWN0UXBqSUNldz09,RISEQ
M: 4.2 - Afghanistan,2024-08-30 06:00:51 IST,"36.52, 71.55","Magnitude: M: 4.2, Depth: D: 100km",Reviewed,dE1JL3BPcDJzd09DVm5iQkVSL3FGdz09,RISEQ
M: 3.7 - Nepal,2024-08-29 19:19:02 IST,"29.40, 81.29","Magnitude: M: 3.7, Depth: D: 5km",Reviewed,dnkwdVhiWFVoZjNYdDFjN2RRTlZVQT09,RISEQ
"M: 2.8 - UPPER SIANG, ARUNACHAL PRADESH",2024-08-29 18:56:32 IST,"28.61, 95.28","Magnitude: M: 2.8, Depth: D: 33km",Reviewed,bnh1Rm9ONVV0dzVwVExVdHFyTHFBQT09,RISEQ
M: 5.7 - Afghanistan,2024-08-29 11:26:38 IST,"36.51, 71.12","Magnitude: M: 5.7, Depth: D: 255km",Reviewed,MXlOanRsUWV4dnFwMTBhekxYNnNJUT09,RISEQ
M: 4.2 - Andaman Sea,2024-08-28 09:25:33 IST,"7.85, 94.01","Magnitude: M: 4.2, Depth: D: 75km",Reviewed,WW50ek9rMG04K1hZY0RrNnBiYkRYdz09,RISEQ
M: 4.2 - Myanmar,2024-08-28 01:49:39 IST,"20.86, 94.79","Magnitude: M: 4.2, Depth: D: 10km",Reviewed,M1BoMFAvWUJoT1BxeTRRNTFmNXV4dz09,RISEQ
M: 3.6 - Myanmar,2024-08-27 21:11:26 IST,"24.58, 95.22","Magnitude: M: 3.6, Depth: D: 10km",Reviewed,ZDBMSVc3aVMwMEREbGhRK2tYYUhNQT09,RISEQ
M: 3.8 - Tajikistan,2024-08-27 13:40:20 IST,"37.33, 72.01","Magnitude: M: 3.8, Depth: D: 150km",Reviewed,T1hyNjlESEIraDdEZWd6cGY3OCtTZz09,RISEQ
